Reference_ID,Reference_Source,Authors,Year_published,Title,Source,Volume,First_page,Last_page,N_pages,SUDOCS,N_sites
Mills1991,BioOne,James N. Mills; Barbara A. Ellis; Kelly T. Mckee; Julio I. Maiztegui; and James E. Childs,1991,Habitat associations and relative densities of rodent populations in cultivated areas of central Argentina,Journal of Mammalogy,72,470,479,10,NULL,1
Monadjem1997,BioOne,Ara Monadjem,1997,Habitat preferences and biomasses of small mammals in Swaziland,African Journal of Ecology,35,64,72,9,NULL,6
Monroe2004,BioOne,Lindsey M. Monroe; Stanley C. Cunningham; and Lari Beth Kirkendall,2004,Small mammal community responses to a wildfire on a central Arizona sky island,Journal of Mammalogy,37,56,61,6,NULL,4
Moore2003,Web of Science,N. P. Moore; N. Askew; and J. D. Bishop,2003,Small mammals  in new farm woodlands,Mammal Review,33,101,104,4,NULL,3
Morrison1985,Brown & Nicoletto 1991,Michael L. Morrison; Michael P. Yoder-Williams; Don C. Erman; Reginald H. Barrett; Marshall White; A. Starker Leopold; and Daniel A. Airola ,1985,Natural history of vertebrates of the Sagehen Creek Basin; Nevada County; California,Division of Agriculture and Natural Resources; Agricultural Experiment Station; University of California; Berkeley,NULL,NULL,NULL,16,NULL,1
Muck2006,Web of Science,Christina Muck and Ulrich Zeller,2006,Small mammal communities on cattle and game grazing areas in Namibia,African Zoology,41,215,223,9,NULL,2
Nakagawa2007,BioOne,Michiko Nakagawa; Hideo Miguchi; Kaori Sato; Shoko Sakai; and Tohru Nakashizuka,2007,Population dynamics of arboreal and terrestrial small mammals in a tropical rainforest; Sarawak; Malaysia,The Raffles Bulletin of Zoology,52,389,395,7,NULL,1
Nichols1975,Brown & Kurzius 1987,D. W. Nichols; H. D. Smith; and M. F. Baker,1975,Rodent populations; biomass; and community relationships in Artemisia tridentata; Rush Valley; Utah,Great Basin Naturalist,35,191,202,12,NULL,3
Nicolas2010,Web of Science,Violaine Nicolas;  Armand Natta; Patrick Barriere; Arnaud Delapre; Marc Colyn,2010,Terrestrial small mammal diversity and abundance in central Benin: comparison between habitats with conservation implications,African Journal of Ecology,48,1092,1104,13,NULL,12
Nor2001,Web of Science,Shuk Md. Nor; Zainab Batin; and Zubaid Akbar,2001,Elevational diversity pattern of nonvolant small mammals on Mount Nuang Hulu Langat; Selangor,Journal of Biological Sciences,11,1081,1084,4,NULL,4
